trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,True,"{'e': 0, 'a': 0}",20,16,5.948847976780116,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'e': 0, 'a': 0}",20,8,25.94842686322696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'e': 0, 'a': 0}",20,8,25.359471528790962,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'e': 0, 'a': 0}",30,17,22.567600195547204,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'e': 0, 'a': 0}",25,19,11.271570574929036,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'e': 0, 'a': 0}",35,25,17.776540024290494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'e': 0, 'a': 0}",25,16,15.694410113383206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'e': 0, 'a': 0}",25,13,24.817658681387037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'e': 0, 'a': 0}",20,12,15.304404550763346,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'e': 0, 'a': 0}",25,15,16.132216359227478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'e': 0, 'a': 0}",25,13,25.01097797862661,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'e': 0, 'a': 0}",20,10,17.378747711228826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'e': 0, 'a': 0}",25,15,19.527691244056825,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'e': 0, 'a': 0}",30,18,20.015273749397583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'e': 0, 'a': 0}",20,12,15.866500533597304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'e': 0, 'a': 0}",20,8,23.116591278208848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'e': 0, 'a': 0}",20,10,17.007979541409675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'e': 0, 'a': 0}",20,11,17.969251203665497,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'e': 0, 'a': 0}",20,12,14.309871933094808,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'e': 0, 'a': 0}",25,7,33.35730025818957,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'e': 0, 'a': 0}",25,18,13.762075936969687,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'e': 0, 'a': 0}",20,14,10.152337630785919,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'e': 0, 'a': 0}",30,20,19.547179730933912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'e': 0, 'a': 0}",25,11,23.26595733769969,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'e': 0, 'a': 0}",30,20,20.12868441486871,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'e': 0, 'a': 0}",20,13,15.182050471607365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'e': 0, 'a': 0}",25,19,12.005297264201765,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'e': 0, 'a': 0}",20,6,25.86464507458886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'e': 0, 'a': 0}",20,11,18.14223515671152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'e': 0, 'a': 0}",20,16,6.879771472310939,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'e': 0, 'a': 0}",30,20,18.649026292762827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'e': 0, 'a': 0}",20,9,20.170546613635867,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'e': 0, 'a': 0}",30,22,15.195359851414143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'e': 0, 'a': 0}",25,14,17.195540549367056,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'e': 0, 'a': 0}",20,14,11.678121308975475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'e': 0, 'a': 0}",20,7,26.526826244816945,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'e': 0, 'a': 0}",30,14,33.492176336711985,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'e': 0, 'a': 0}",20,12,17.233000507326572,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'e': 0, 'a': 0}",25,15,20.401385032570147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'e': 0, 'a': 0}",20,16,8.11991327362093,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'e': 0, 'a': 0}",20,2,30.03489922192051,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'e': 0, 'a': 0}",25,11,28.46392315689597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'e': 0, 'a': 0}",25,14,22.457837082999845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'e': 0, 'a': 0}",35,23,22.89672682702253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'e': 0, 'a': 0}",20,9,19.360979973231114,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'e': 0, 'a': 0}",25,13,25.86988261895668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'e': 0, 'a': 0}",25,17,14.008988661669667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'e': 0, 'a': 0}",25,14,20.778981144045105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'e': 0, 'a': 0}",20,16,7.686005191735576,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'e': 0, 'a': 0}",25,13,23.05545383709401,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'e': 0, 'a': 0}",20,11,18.547214150346687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'e': 0, 'a': 0}",20,12,13.662913575232789,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'e': 0, 'a': 0}",20,10,19.991223590266056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'e': 0, 'a': 0}",25,20,12.464587271911714,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'e': 0, 'a': 0}",30,23,11.173224722852863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'e': 0, 'a': 0}",20,14,12.88003430027408,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
